"","Persisting","Soft-Quit","Hard-Quit"
"Persisting",0.943084802849694,0.0339383739796891,0.0229768231706167
"Soft-Quit",0.206739262800893,0.754431243662416,0.0388294935366915
"Hard-Quit",0,0,1
