"","Persisting","Soft-Quit","Hard-Quit"
"Persisting",0.950079692948101,0.027659509193882,0.0222607978580173
"Soft-Quit",0.204074649395023,0.760781332479699,0.0351440181252783
"Hard-Quit",0,0,1
