"","model","AIC","minus_2_loglik","lr_test_loglik","lr_test_df","lr_test_df_diff","lr_test_chisq","lr_test_p"
"1","constrained",1668098,1668090,-834045,4,NA,NA,NA
"2","covariate",429940,429844,-214922,48,44,1238245.75837675,0
